time,Open,High,Low,Close,tick_volume,spread,real_volume,MA,ATR
1764246300,4155.33,4156.55,4152.52,4152.54,1461,18,0,4156.760499999999,3.1299999999998493
1764246600,4152.56,4155.14,4152.24,4154.91,1486,18,0,4156.196,3.0192857142856155
1764246900,4154.9,4155.04,4153.27,4153.57,1088,18,0,4155.582,2.7199999999998647
1764247200,4153.68,4154.84,4152.47,4153.69,916,18,0,4155.2955,2.7371428571427066
1764247500,4153.7,4154.79,4153.04,4153.06,1036,18,0,4155.046,2.722857142857005
1764247800,4153.07,4155.97,4153.07,4155.96,952,18,0,4155.0975,2.6757142857142235
1764248100,4156.03,4156.98,4154.77,4156.25,1369,18,0,4155.3945,2.6592857142856183
1764248400,4156.24,4157.22,4155.74,4155.94,902,18,0,4155.6275000000005,2.479285714285652
1764248700,4156.02,4158.42,4155.74,4157.72,1092,18,0,4155.786,2.427142857142826
1764249000,4157.72,4159.26,4157.38,4157.52,818,18,0,4155.9665,2.2757142857142623
1764249300,4157.66,4159.55,4157.04,4158.51,842,18,0,4156.161,2.2535714285714414
1764249600,4158.52,4158.52,4156.45,4157.31,1370,18,0,4156.1675,2.227857142857179
1764249900,4157.3,4158.98,4156.26,4158.61,966,18,0,4156.283,2.3592857142856962
1764250200,4158.63,4160.17,4158.18,4159.95,825,18,0,4156.3395,2.3757142857143014
1764250500,4159.9,4160.58,4159.66,4160.4,770,18,0,4156.4345,2.1535714285714675
1764250800,4160.4,4162.31,4160.39,4160.69,944,18,0,4156.587,2.083571428571434
1764251100,4160.67,4162.01,4159.26,4160.23,981,18,0,4156.721500000001,2.1535714285714675
1764251400,4160.23,4160.44,4158.16,4158.34,916,18,0,4156.8385,2.1471428571428857
1764251700,4158.34,4159.45,4157.21,4157.22,783,18,0,4156.886,2.1821428571428703
1764252000,4157.23,4158.9,4155.94,4158.81,963,18,0,4157.0615,2.186428571428548
1764252300,4158.83,4158.87,4156.03,4157.0,708,18,0,4157.2845,2.2314285714286206
1764252600,4157.0,4157.94,4156.88,4157.59,505,18,0,4157.4185,2.2014285714285506
1764252900,4157.68,4158.11,4156.78,4157.69,494,18,0,4157.6245,2.1049999999999534
1764253200,4157.7,4158.52,4157.4,4158.01,640,18,0,4157.8405,2.0507142857142884
1764253500,4158.02,4158.02,4155.54,4156.53,550,18,0,4158.014,2.0485714285714494
1764253800,4156.52,4157.76,4156.32,4157.13,545,18,0,4158.0725,2.0035714285714414
1764254100,4157.11,4158.35,4156.47,4156.64,690,18,0,4158.092,1.9435714285714962
1764254400,4156.59,4156.95,4154.64,4155.6,730,18,0,4158.075,1.9664285714286183
1764254700,4155.58,4157.37,4155.27,4157.37,766,18,0,4158.0575,2.0507142857142884
1764255000,4157.36,4157.73,4155.93,4157.72,1009,18,0,4158.067499999999,2.0421428571428026
1764255300,4157.75,4158.18,4153.26,4153.76,1052,18,0,4157.83,2.1971428571428078
1764255600,4153.72,4153.96,4150.18,4151.94,2377,18,0,4157.561500000001,2.304285714285665
1764255900,4151.99,4153.19,4148.93,4150.03,1870,18,0,4157.132500000001,2.4485714285713454
1764256200,4150.04,4153.11,4149.76,4150.93,1902,18,0,4156.681500000001,2.4764285714284466
1764256500,4150.83,4151.89,4149.17,4151.68,1775,18,0,4156.2455,2.4678571428570257
1764256800,4151.76,4153.56,4150.69,4152.3,1683,18,0,4155.825999999999,2.597142857142834
1764257100,4152.31,4153.19,4151.0,4152.13,1614,18,0,4155.421,2.6585714285713817
1764257400,4152.16,4156.74,4151.89,4156.21,1637,18,0,4155.3145,2.9249999999998573
1764257700,4156.22,4157.75,4155.35,4156.46,1880,18,0,4155.2765,2.9192857142855115
1764258000,4156.43,4157.64,4154.54,4155.83,1247,18,0,4155.1275000000005,3.0378571428569296
1764258300,4155.83,4156.28,4154.21,4154.8,1069,18,0,4155.0175,3.0514285714283296
1764258600,4154.58,4156.21,4152.86,4155.58,1431,18,0,4154.917,3.1257142857141065
